Timestamp,Price,Price_from,Price_to
2024-02-28 13:42:57,47765.59477417765,47874.36026137892,47765.59477417765
2024-02-28 13:44:45,47682.7637285915,47765.59477417765,47682.7637285915
2024-02-28 13:51:22,47763.943371797526,47682.7637285915,47763.943371797526
2024-02-28 14:00:11,47822.916258851204,47763.943371797526,47822.916258851204
2024-02-28 14:03:33,47879.17559023117,47822.916258851204,47879.17559023117
2024-02-28 14:05:57,47965.89465942136,47879.17559023117,47965.89465942136
2024-02-28 14:11:07,47962.17423011029,47965.89465942136,47962.17423011029
2024-02-28 14:15:15,47782.57441175746,47962.17423011029,47782.57441175746
2024-02-28 14:20:14,47881.69132930042,47782.57441175746,47881.69132930042
2024-02-28 14:25:15,47660.20449161719,47881.69132930042,47660.20449161719
2024-02-28 14:29:56,47475.49038575094,47660.20449161719,47475.49038575094
2024-02-28 14:35:02,47473.86993487714,47475.49038575094,47473.86993487714
2024-02-28 14:40:28,47536.902640250555,47473.86993487714,47536.902640250555
2024-02-28 14:45:08,47708.54149837126,47536.902640250555,47708.54149837126
2024-02-28 14:50:34,47775.42760428091,47708.54149837126,47775.42760428091
2024-02-28 14:55:13,47908.68133700131,47775.42760428091,47908.68133700131
2024-02-28 15:00:45,48334.93600640336,47908.68133700131,48334.93600640336
2024-02-28 15:05:24,48145.88847097987,48334.93600640336,48145.88847097987
2024-02-28 15:10:09,48072.8806964038,48145.88847097987,48072.8806964038
2024-02-28 15:15:20,48171.30401071927,48072.8806964038,48171.30401071927
2024-02-28 15:20:26,48359.925352206614,48171.30401071927,48359.925352206614
2024-02-28 15:25:30,48185.34364800941,48359.925352206614,48185.34364800941
2024-02-28 15:30:10,48280.903383893834,48185.34364800941,48280.903383893834
2024-02-28 15:35:17,48293.484687981254,48280.903383893834,48293.484687981254
2024-02-28 15:40:49,48270.60963973114,48293.484687981254,48270.60963973114
2024-02-28 15:45:20,48134.70466846377,48270.60963973114,48134.70466846377
2024-02-28 15:50:22,48271.63979747759,48134.70466846377,48271.63979747759
2024-02-28 15:55:30,48271.11225700096,48271.63979747759,48271.11225700096
2024-02-28 16:00:21,48166.902393918914,48271.11225700096,48166.902393918914
2024-02-28 16:05:24,48414.95030339254,48166.902393918914,48414.95030339254
2024-02-28 16:10:03,48331.89451564406,48414.95030339254,48331.89451564406
2024-02-28 16:15:26,48293.516718792926,48331.89451564406,48293.516718792926
2024-02-28 16:21:14,48453.19725279168,48293.516718792926,48453.19725279168
2024-02-28 16:25:16,48323.30813900377,48453.19725279168,48323.30813900377
2024-02-28 16:31:00,48554.987654691045,48323.30813900377,48554.987654691045
2024-02-28 16:34:55,48536.725539812964,48554.987654691045,48536.725539812964
2024-02-28 16:40:43,48801.168875587864,48536.725539812964,48801.168875587864
2024-02-28 16:45:24,48827.046670806885,48801.168875587864,48827.046670806885
2024-02-28 16:50:26,48785.84744712695,48827.046670806885,48785.84744712695
2024-02-28 16:55:22,48819.52118149789,48785.84744712695,48819.52118149789
2024-02-28 17:01:01,49345.21322087023,48819.52118149789,49345.21322087023
2024-02-28 17:05:23,49390.480894395776,49345.21322087023,49390.480894395776
2024-02-28 17:10:23,49553.5224939574,49390.480894395776,49553.5224939574
2024-02-28 17:15:04,49911.715612481355,49553.5224939574,49911.715612481355
2024-02-28 17:20:23,50240.08963468482,49911.715612481355,50240.08963468482
2024-02-28 17:25:18,50009.56246899555,50240.08963468482,50009.56246899555
2024-02-28 17:30:19,49307.237670879505,50009.56246899555,49307.237670879505
2024-02-28 17:35:17,47840.534794186,49307.237670879505,47840.534794186
2024-02-28 17:40:33,47645.49405306502,47840.534794186,47645.49405306502
2024-02-28 17:45:11,48028.29430753459,47645.49405306502,48028.29430753459
2024-02-28 17:50:35,48358.22276663335,48028.29430753459,48358.22276663335
2024-02-28 17:55:19,48368.92811986543,48358.22276663335,48368.92811986543
2024-02-28 18:01:12,48533.7042313035,48368.92811986543,48533.7042313035
2024-02-28 18:05:17,48519.739679659455,48533.7042313035,48519.739679659455
2024-02-28 18:11:01,48196.71218404112,48519.739679659455,48196.71218404112
2024-02-28 18:15:25,47906.29355348582,48196.71218404112,47906.29355348582
2024-02-28 18:20:26,47898.989283622264,47906.29355348582,47898.989283622264
2024-02-28 18:25:20,47057.920623399186,47898.989283622264,47057.920623399186
2024-02-28 18:30:01,47465.41034942128,47057.920623399186,47465.41034942128
2024-02-28 18:35:05,47580.84612894929,47465.41034942128,47580.84612894929
2024-02-28 18:40:25,47737.24986453288,47580.84612894929,47737.24986453288
2024-02-28 18:45:17,47948.34694213391,47737.24986453288,47948.34694213391
2024-02-28 18:50:08,48105.0761425322,47948.34694213391,48105.0761425322
2024-02-28 18:55:06,48032.47585228617,48105.0761425322,48032.47585228617
2024-02-28 19:00:36,48360.11095135671,48032.47585228617,48360.11095135671
2024-02-28 19:05:17,48564.497444334855,48360.11095135671,48564.497444334855
2024-02-28 19:10:10,48458.46296612761,48564.497444334855,48458.46296612761
2024-02-28 19:15:25,48332.67723178257,48458.46296612761,48332.67723178257
2024-02-28 19:20:20,48336.10420671598,48332.67723178257,48336.10420671598
2024-02-28 19:25:10,48299.20132555363,48336.10420671598,48299.20132555363
2024-02-28 19:30:26,48402.7762320733,48299.20132555363,48402.7762320733
2024-02-28 19:35:24,48290.045394183406,48402.7762320733,48290.045394183406
2024-02-28 19:40:26,48216.520275207855,48290.045394183406,48216.520275207855
2024-02-28 19:45:24,48034.99467085437,48216.520275207855,48034.99467085437
2024-02-28 19:50:08,48192.56151329035,48034.99467085437,48192.56151329035
2024-02-28 19:55:26,48218.2197065928,48192.56151329035,48218.2197065928
2024-02-28 20:01:13,48214.08011635181,48218.2197065928,48214.08011635181
2024-02-28 20:04:53,48258.9726033554,48214.08011635181,48258.9726033554
2024-02-28 20:10:10,47756.53445836464,48258.9726033554,47756.53445836464
2024-02-28 20:15:06,47816.814775048886,47756.53445836464,47816.814775048886
2024-02-28 20:20:12,47700.76300320303,47816.814775048886,47700.76300320303
2024-02-28 20:24:57,47574.29537751152,47700.76300320303,47574.29537751152
2024-02-28 20:30:35,47415.92770758005,47574.29537751152,47415.92770758005
2024-02-28 20:35:14,47619.8166448675,47415.92770758005,47619.8166448675
2024-02-28 20:40:11,47565.0430804174,47619.8166448675,47565.0430804174
2024-02-28 20:45:15,47561.345001893875,47565.0430804174,47561.345001893875
2024-02-28 20:50:22,47484.07373891166,47561.345001893875,47484.07373891166
2024-02-28 20:55:12,47626.27132543049,47484.07373891166,47626.27132543049
2024-02-28 21:00:12,47730.75053166197,47626.27132543049,47730.75053166197
2024-02-28 21:05:24,47448.82237036207,47730.75053166197,47448.82237036207
2024-02-28 21:10:45,47429.384459671695,47448.82237036207,47429.384459671695
2024-02-28 21:15:18,47507.263219105516,47429.384459671695,47507.263219105516
2024-02-28 21:20:15,47696.54542859099,47507.263219105516,47696.54542859099
2024-02-28 21:25:13,47682.4919295482,47696.54542859099,47682.4919295482
2024-02-28 21:30:10,47684.36325303882,47682.4919295482,47684.36325303882
2024-02-28 21:35:20,47698.00768936326,47684.36325303882,47698.00768936326
2024-02-28 21:40:37,47812.65040422362,47698.00768936326,47812.65040422362
2024-02-28 21:45:18,47820.82430601009,47812.65040422362,47820.82430601009
2024-02-28 21:50:16,47741.51655645789,47820.82430601009,47741.51655645789
2024-02-28 21:55:20,47823.276081154654,47741.51655645789,47823.276081154654
2024-02-28 22:00:55,47785.0471678498,47823.276081154654,47785.0471678498
2024-02-28 22:05:20,47963.006758528434,47785.0471678498,47963.006758528434
2024-02-28 22:10:15,48136.625838650616,47963.006758528434,48136.625838650616
2024-02-28 22:15:07,48263.02311151865,48136.625838650616,48263.02311151865
2024-02-28 22:21:02,48200.77906029629,48263.02311151865,48200.77906029629
2024-02-28 22:25:19,48304.278149797945,48200.77906029629,48304.278149797945
2024-02-28 22:30:31,48460.92156081716,48304.278149797945,48460.92156081716
2024-02-28 22:35:08,48352.594076436486,48460.92156081716,48352.594076436486
2024-02-28 22:40:46,48407.69734516765,48352.594076436486,48407.69734516765
2024-02-28 22:45:04,48336.824328739756,48407.69734516765,48336.824328739756
2024-02-28 22:50:24,48383.11057599174,48336.824328739756,48383.11057599174
2024-02-28 22:55:18,48458.175753083815,48383.11057599174,48458.175753083815
2024-02-28 23:00:59,48418.4689423941,48458.175753083815,48418.4689423941
2024-02-28 23:05:26,48550.85010047507,48418.4689423941,48550.85010047507
2024-02-28 23:10:29,48864.665714087205,48550.85010047507,48864.665714087205
2024-02-28 23:15:31,49030.629304274524,48864.665714087205,49030.629304274524
2024-02-28 23:21:09,49309.157572075565,49030.629304274524,49309.157572075565
2024-02-28 23:25:19,49203.217676014654,49309.157572075565,49203.217676014654
2024-02-28 23:30:15,49400.69472064118,49203.217676014654,49400.69472064118
2024-02-28 23:35:20,49243.26829417778,49400.69472064118,49243.26829417778
2024-02-28 23:40:35,49283.68627175082,49243.26829417778,49283.68627175082
2024-02-28 23:45:32,49412.30256730613,49283.68627175082,49412.30256730613
2024-02-28 23:51:02,49278.79758247486,49412.30256730613,49278.79758247486
2024-02-28 23:55:22,49417.46372560905,49278.79758247486,49417.46372560905
2024-02-29 00:00:22,49387.240008134984,49417.46372560905,49387.240008134984
2024-02-29 00:05:31,49216.97521531229,49387.240008134984,49216.97521531229
2024-02-29 00:10:29,49245.15602933216,49216.97521531229,49245.15602933216
2024-02-29 00:15:21,48998.23567026187,49245.15602933216,48998.23567026187
2024-02-29 00:20:26,48913.50545070811,48998.23567026187,48913.50545070811
2024-02-29 00:25:23,48797.628405181014,48913.50545070811,48797.628405181014
2024-02-29 00:30:22,48659.17587203116,48797.628405181014,48659.17587203116
2024-02-29 00:35:16,48627.017781065304,48659.17587203116,48627.017781065304
2024-02-29 00:40:50,48883.72516884496,48627.017781065304,48883.72516884496
2024-02-29 00:45:22,48767.24060543773,48883.72516884496,48767.24060543773
2024-02-29 00:50:25,48568.146310957745,48767.24060543773,48568.146310957745
2024-02-29 00:55:06,48415.90891412014,48568.146310957745,48415.90891412014
2024-02-29 01:00:32,48463.43431417526,48415.90891412014,48463.43431417526
2024-02-29 01:05:22,48465.42002676543,48463.43431417526,48465.42002676543
2024-02-29 01:10:15,48445.474277996276,48465.42002676543,48445.474277996276
2024-02-29 01:15:32,48314.85502499539,48445.474277996276,48314.85502499539
2024-02-29 01:20:14,48455.1591172733,48314.85502499539,48455.1591172733
2024-02-29 01:25:25,48421.360056307465,48455.1591172733,48421.360056307465
2024-02-29 01:30:37,48300.42793088361,48421.360056307465,48300.42793088361
2024-02-29 01:35:33,48457.94668473163,48300.42793088361,48457.94668473163
2024-02-29 01:40:31,48563.22698888267,48457.94668473163,48563.22698888267
2024-02-29 01:45:15,48559.145606425474,48563.22698888267,48559.145606425474
2024-02-29 01:50:36,48544.61570940374,48559.145606425474,48544.61570940374
2024-02-29 01:55:27,48454.2610971613,48544.61570940374,48454.2610971613
2024-02-29 02:01:01,48466.67536727586,48454.2610971613,48466.67536727586
2024-02-29 02:05:19,48505.00883659666,48466.67536727586,48505.00883659666
2024-02-29 02:10:15,48593.21605355564,48505.00883659666,48593.21605355564
2024-02-29 02:15:20,48431.63720668116,48593.21605355564,48431.63720668116
2024-02-29 02:20:32,48347.17856417984,48431.63720668116,48347.17856417984
2024-02-29 02:25:11,48319.48401810827,48347.17856417984,48319.48401810827
2024-02-29 02:30:12,48351.581338763615,48319.48401810827,48351.581338763615
2024-02-29 02:35:01,48391.79918744463,48351.581338763615,48391.79918744463
2024-02-29 02:40:30,48560.714238276974,48391.79918744463,48560.714238276974
2024-02-29 02:45:27,48509.415777945644,48560.714238276974,48509.415777945644
2024-02-29 02:50:11,48595.842932895306,48509.415777945644,48595.842932895306
2024-02-29 02:55:35,48707.746258653715,48595.842932895306,48707.746258653715
2024-02-29 03:00:36,48750.4540917028,48707.746258653715,48750.4540917028
2024-02-29 03:05:30,48717.23518917452,48750.4540917028,48717.23518917452
2024-02-29 03:10:18,48692.820653308954,48717.23518917452,48692.820653308954
2024-02-29 03:15:43,48655.78035278689,48692.820653308954,48655.78035278689
2024-02-29 03:20:21,48609.489338234875,48655.78035278689,48609.489338234875
2024-02-29 03:25:49,48463.16662082872,48609.489338234875,48463.16662082872
2024-02-29 03:31:28,48440.78126893291,48463.16662082872,48440.78126893291
2024-02-29 03:35:42,48357.016533179485,48440.78126893291,48357.016533179485
2024-02-29 03:40:57,48404.22608160479,48357.016533179485,48404.22608160479
2024-02-29 03:45:39,48486.90176224272,48404.22608160479,48486.90176224272
2024-02-29 03:50:53,48552.72439329812,48486.90176224272,48552.72439329812
2024-02-29 03:56:06,48559.031480002464,48552.72439329812,48559.031480002464
2024-02-29 04:01:48,48621.78785997678,48559.031480002464,48621.78785997678
2024-02-29 04:05:18,48504.30397047344,48621.78785997678,48504.30397047344
2024-02-29 04:10:35,48449.85846704066,48504.30397047344,48449.85846704066
2024-02-29 04:15:19,48533.071085922275,48449.85846704066,48533.071085922275
2024-02-29 04:20:25,48693.92572469273,48533.071085922275,48693.92572469273
2024-02-29 04:50:14,49321.73088407459,48693.92572469273,49321.73088407459
2024-02-29 04:55:00,49471.23667248866,49321.73088407459,49471.23667248866
2024-02-29 04:59:56,49340.03963331092,49471.23667248866,49340.03963331092
2024-02-29 05:04:53,49281.86609513921,49340.03963331092,49281.86609513921
2024-02-29 05:14:29,49032.732326845624,49281.86609513921,49032.732326845624
2024-02-29 05:20:29,48966.46137281047,49032.732326845624,48966.46137281047
2024-02-29 05:25:18,48940.92219578087,48966.46137281047,48940.92219578087
2024-02-29 05:30:08,49024.372104972994,48940.92219578087,49024.372104972994
2024-02-29 05:35:15,48968.42189524316,49024.372104972994,48968.42189524316
2024-02-29 05:41:13,48945.2426367043,48968.42189524316,48945.2426367043
2024-02-29 05:45:16,49082.406402031804,48945.2426367043,49082.406402031804
2024-02-29 05:50:09,49079.55192172333,49082.406402031804,49079.55192172333
2024-02-29 05:55:21,49202.145751826334,49079.55192172333,49202.145751826334
2024-02-29 06:00:35,49448.85205056474,49202.145751826334,49448.85205056474
2024-02-29 06:05:27,49543.36647080675,49448.85205056474,49543.36647080675
2024-02-29 06:10:23,49711.85660537998,49543.36647080675,49711.85660537998
2024-02-29 06:15:10,49770.32371100247,49711.85660537998,49770.32371100247
2024-02-29 06:20:21,49986.773463512865,49770.32371100247,49986.773463512865
2024-02-29 06:25:12,49822.05636508659,49986.773463512865,49822.05636508659
2024-02-29 06:30:06,49852.79529777457,49822.05636508659,49852.79529777457
2024-02-29 06:35:13,49901.55877031962,49852.79529777457,49901.55877031962
2024-02-29 06:41:23,49900.9533822686,49901.55877031962,49900.9533822686
2024-02-29 06:45:18,50042.422279608814,49900.9533822686,50042.422279608814
2024-02-29 06:50:29,50081.73540860932,50042.422279608814,50081.73540860932
2024-02-29 06:55:17,49887.17799284852,50081.73540860932,49887.17799284852
2024-02-29 07:00:12,49692.43709600722,49887.17799284852,49692.43709600722
2024-02-29 07:05:21,49642.3702778673,49692.43709600722,49642.3702778673
2024-02-29 07:10:36,49743.45493120845,49642.3702778673,49743.45493120845
2024-02-29 07:15:06,49826.992432015504,49743.45493120845,49826.992432015504
2024-02-29 07:20:21,49684.97181605767,49826.992432015504,49684.97181605767
2024-02-29 07:23:28,49640.45166725805,49684.97181605767,49640.45166725805
